source_type,file,html_length,button_count,card_count,section_count,nav_count,form_count,image_count,link_count,heading_count,has_hero,has_pricing,has_testimonials,has_faq,has_contact,has_services,has_portfolio,color_count,top_colors,font_size_count,radius_count,shadow_count,padding_count,margin_count,design_profile
html,html_9135.html,1063,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,card-heavy-modern
html,html_11187.html,1775,0,0,0,0,0,1,7,2,0,0,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_275.html,1852,0,0,3,1,0,1,3,3,0,0,1,0,1,1,0,1,#fac,0,0,0,0,0,form-focused
html,html_12250.html,1933,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12630.html,2441,0,0,0,1,0,0,3,4,0,0,1,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_6653.html,1246,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_12838.html,2234,0,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_7239.html,1030,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,1,#acade,0,0,0,0,0,card-heavy-modern
html,html_12751.html,1963,0,0,3,1,0,1,4,4,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_1111.html,1987,0,0,0,1,0,1,3,2,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6194.html,1114,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_1985.html,1943,1,0,2,1,0,4,3,3,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_2227.html,1159,1,0,0,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_14001.html,1606,0,0,0,1,0,1,5,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_14746.html,1082,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_2589.html,1589,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_11743.html,1060,1,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_3800.html,1229,0,0,1,0,0,0,2,5,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_6997.html,1224,0,0,0,1,0,0,5,1,0,1,1,1,1,0,0,0,,0,0,0,0,0,form-focused
html,html_846.html,1436,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_8263.html,1244,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,,0,0,0,0,0,form-focused
html,html_12926.html,1675,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10072.html,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,card-heavy-modern
html,html_7289.html,2434,0,0,0,1,0,1,3,4,0,0,0,0,0,0,0,1,#fac,0,0,0,0,0,card-heavy-modern
html,html_11864.html,2077,1,0,0,0,0,3,0,5,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13276.html,1668,0,0,3,1,0,1,3,4,1,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_795.html,1567,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13888.html,1963,0,0,3,1,0,0,3,4,0,0,0,1,1,1,0,1,#acc,0,0,0,0,0,form-focused
html,html_12025.html,1615,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13471.html,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,card-heavy-modern
html,html_8453.html,1787,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_9465.html,1791,0,0,0,1,0,1,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_14394.html,2138,1,4,5,1,0,0,8,5,0,1,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_7405.html,1043,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_2671.html,1103,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,,0,0,0,0,0,image-rich-gallery
html,html_13876.html,1833,0,0,0,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6214.html,3111,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_3882.html,1352,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4644.html,1918,0,0,0,1,0,1,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_14894.html,1789,2,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_13661.html,1125,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13896.html,1116,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,image-rich-gallery
html,html_4142.html,1870,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_1559.html,1926,0,0,0,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_13459.html,1484,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10498.html,1420,0,0,0,1,0,1,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_5635.html,1050,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_118.html,1631,0,0,2,1,0,1,4,2,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_8605.html,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,card-heavy-modern
html,html_14471.html,939,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_1855.html,1824,0,0,0,1,0,0,7,3,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6087.html,1448,0,0,1,1,0,0,4,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_11973.html,1331,0,0,4,0,0,1,0,5,1,0,1,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_9571.html,1485,1,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_9329.html,1443,1,0,0,1,0,1,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_14917.html,1513,0,0,0,1,0,1,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_5300.html,1471,0,0,0,1,0,1,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_4478.html,1313,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5976.html,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_8419.html,2363,1,0,2,1,0,4,4,5,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_4416.html,1425,0,0,0,1,0,0,5,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_13935.html,1200,1,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_8557.html,1641,0,0,0,0,0,1,4,3,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_11029.html,1785,0,0,2,1,0,2,5,1,0,1,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_12043.html,1860,0,0,2,1,0,2,4,2,1,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_5343.html,912,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_3562.html,1502,0,0,0,1,0,1,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_4864.html,1760,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_6139.html,1463,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_6970.html,1907,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_932.html,994,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5186.html,1972,0,0,0,1,0,1,4,4,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_9932.html,2052,0,0,2,1,0,0,5,3,0,0,0,0,1,1,1,0,,0,0,0,0,0,form-focused
html,html_6085.html,931,0,0,0,1,0,0,5,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_14669.html,2512,1,0,3,1,1,0,3,5,0,0,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6734.html,1996,0,0,3,1,0,0,3,6,0,0,0,0,0,0,0,1,#acade,0,0,0,0,0,card-heavy-modern
html,html_11967.html,962,0,0,1,1,0,0,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_13095.html,2964,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,,0,0,0,0,0,form-focused
html,html_10610.html,2795,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,form-focused
html,html_3342.html,1334,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4646.html,1586,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_11133.html,1360,1,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_14832.html,2070,0,0,2,1,0,0,4,2,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_14147.html,1375,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10699.html,1718,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_7512.html,951,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4865.html,1196,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_3942.html,2045,0,0,0,1,0,1,5,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_3762.html,1630,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4264.html,1544,0,0,4,0,0,2,0,4,0,0,1,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13319.html,1965,0,0,3,1,0,4,3,2,0,1,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_14190.html,1518,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10516.html,1237,0,0,0,1,0,0,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_6539.html,1580,0,0,0,1,0,2,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6931.html,740,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_4382.html,1752,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10154.html,1654,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12900.html,1794,0,0,3,1,0,1,3,9,0,0,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_11314.html,3584,1,0,0,1,0,1,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_3784.html,1576,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12344.html,1400,0,0,1,0,0,1,0,6,1,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6790.html,1356,0,0,0,1,0,1,3,2,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_2301.html,1646,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5791.html,1402,0,0,3,1,0,1,3,3,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_10669.html,1898,1,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_5291.html,1245,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12603.html,1346,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13653.html,2359,0,0,0,1,0,0,3,3,0,0,1,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12095.html,799,0,0,2,1,0,0,2,3,0,0,0,0,0,0,1,0,,0,0,0,0,0,card-heavy-modern
html,html_13372.html,1404,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_2448.html,939,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_10075.html,1766,1,0,4,1,0,1,4,4,1,1,0,0,0,0,0,1,#fea,0,0,0,0,0,card-heavy-modern
html,html_12102.html,1355,1,0,1,1,0,1,3,1,0,0,1,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_1742.html,1747,0,0,0,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_7428.html,1378,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10342.html,2040,1,0,0,2,0,2,7,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_6950.html,1991,1,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12234.html,1610,0,0,2,1,0,0,4,3,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_9843.html,2080,1,0,0,1,0,0,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_1050.html,2151,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_5023.html,1914,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_7553.html,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_1056.html,1479,0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5491.html,1017,0,0,0,1,0,1,4,1,0,0,0,0,1,0,1,0,,0,0,0,0,0,form-focused
html,html_8035.html,1039,0,2,2,0,0,0,0,3,0,0,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_12113.html,1798,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,image-rich-gallery
html,html_10522.html,2511,0,0,3,1,0,0,3,6,0,0,0,0,0,1,0,1,#fea,0,0,0,0,0,card-heavy-modern
html,html_5258.html,2140,0,0,2,1,0,1,4,2,1,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_4011.html,1365,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_9394.html,1755,0,0,1,0,0,1,5,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_3826.html,1705,0,0,0,1,0,0,3,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_10199.html,1257,0,0,3,1,0,0,3,3,0,0,1,0,0,0,0,1,#dea,0,0,0,0,0,card-heavy-modern
html,html_3781.html,1716,0,0,1,0,0,4,0,3,0,0,1,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_8320.html,1594,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_9439.html,1142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_3327.html,1511,0,0,0,0,0,4,3,2,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_635.html,1524,1,0,0,1,0,1,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_11672.html,1391,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13245.html,1328,1,0,0,1,0,1,3,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_10931.html,1950,0,0,3,1,0,1,4,3,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_3997.html,1541,0,0,0,1,0,2,3,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_12477.html,1189,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_14527.html,1224,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_11892.html,1427,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_13971.html,937,0,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,image-rich-gallery
html,html_3253.html,1827,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_7976.html,1680,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_14552.html,1919,0,0,1,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_11217.html,1200,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_3536.html,2109,1,0,0,1,1,1,7,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_6073.html,1211,1,0,0,1,1,1,5,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_13035.html,1888,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_13725.html,1777,0,0,2,1,0,1,4,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_14674.html,1306,0,0,0,1,0,0,4,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_12317.html,1725,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5108.html,1524,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_9284.html,1679,0,0,3,1,0,0,3,4,0,0,1,1,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_11525.html,2514,1,0,1,1,0,0,3,3,1,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_4975.html,1452,0,1,2,1,0,1,4,2,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_58.html,1995,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12109.html,1143,1,0,0,1,0,0,4,1,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_4715.html,2528,1,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_4844.html,1667,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_8655.html,1223,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_651.html,1827,0,0,2,1,0,0,2,3,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5352.html,1768,0,0,3,1,0,2,3,3,0,0,0,1,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_2303.html,1379,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_14896.html,1579,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,,0,0,0,0,0,card-heavy-modern
html,html_2700.html,1217,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_619.html,2219,1,0,0,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_7198.html,1869,0,0,1,1,0,1,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_6396.html,1125,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,,0,0,0,0,0,form-focused
html,html_1994.html,2145,1,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_12108.html,2047,0,0,3,1,0,1,3,3,0,0,1,0,0,0,0,1,#fac,0,0,0,0,0,card-heavy-modern
html,html_13747.html,870,0,0,1,1,0,1,3,2,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_2042.html,1957,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_8110.html,2439,0,0,1,1,0,0,7,5,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_10888.html,1763,1,0,0,0,0,1,0,5,0,0,1,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_5803.html,1924,1,0,0,1,1,2,5,4,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_8785.html,1294,1,0,3,0,0,1,0,3,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_7072.html,1159,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5895.html,2188,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_359.html,859,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5404.html,1476,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5856.html,1742,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_10428.html,3615,1,0,0,1,1,2,5,7,0,0,0,0,1,0,1,0,,0,0,0,0,0,form-focused
html,html_14638.html,1761,0,0,0,1,0,1,4,2,1,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_5844.html,1347,0,0,1,0,0,0,3,3,0,0,0,0,0,1,0,0,,0,0,0,0,0,card-heavy-modern
html,html_4071.html,2342,1,0,0,1,1,1,4,2,1,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_4493.html,1577,0,0,0,1,0,1,3,6,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_3889.html,939,0,0,0,1,0,1,4,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,form-focused
html,html_14326.html,922,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
html,html_5500.html,982,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,form-focused
html,html_11381.html,1936,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,card-heavy-modern
